what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1408984597968
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1408984597969
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1408984597969
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1408984597969
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1408984597970
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1408984597970
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408984597971
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1408984597971
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1408984597972
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1408984597972
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1408984597972
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1408984597973
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1408984597973
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1408984597973
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1408984597974
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1408984597974
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1408984597981
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1408984597982
os,sysinfo,,,"macosx",1408984597985
arch,sysinfo,,,"x86_64",1408984597985
ws,sysinfo,,,"cocoa",1408984597985
locale,sysinfo,,,"en_US",1408984597985
processors,sysinfo,,,"8",1408984597985
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408984597985
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1408984597985
java.specification.name,sysinfo,,,"Java Platform API Specification",1408984597985
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408984597985
java.specification.version,sysinfo,,,"1.6",1408984597985
java.vendor,sysinfo,,,"Apple Inc.",1408984597985
java.version,sysinfo,,,"1.6.0_65",1408984597985
java.vm.info,sysinfo,,,"mixed mode",1408984597985
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408984597985
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408984597985
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408984597985
java.vm.specification.version,sysinfo,,,"1.0",1408984597985
java.vm.vendor,sysinfo,,,"Apple Inc.",1408984597985
java.vm.version,sysinfo,,,"20.65-b04-462",1408984597985
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1408984599276
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408984599301
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1408984599301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984599397
started,bundle,com.coverity.desktop.launcher,7.0.2.2819-98,"com.coverity.desktop.launcher",1408984600564
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408984600567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984603317
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1408984604678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984662254
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984664649
